tier,name_zh,name_en,civilization,era,lifespan,hint
S,屈原,Qu Yuan,中华文明,战国,公元前340-前278,Chinese poet founder of romantic verse author of Li Sao
S,司马迁,Sima Qian,中华文明,西汉,公元前145-前86,historian author of Records of the Grand Historian
A,王羲之,Wang Xizhi,中华文明,东晋,303-361,calligraphy sage author of Lantingji Xu
A,陶渊明,Tao Yuanming,中华文明,东晋,365-427,recluse pastoral poet
B,顾恺之,Gu Kaizhi,中华文明,东晋,344-406,early Chinese portrait painter
S,荷马,Homer,古希腊,公元前8世纪,前8世纪,epic poet author of Iliad and Odyssey
S,但丁,Dante Alighieri,西方文明,中世纪,1265-1321,Italian poet author of Divine Comedy
A,米开朗基罗,Michelangelo,西方文明,文艺复兴,1475-1564,Renaissance sculptor painter architect
S,贝多芬,Beethoven,西方文明,古典浪漫,1770-1827,German composer transitional classical to romantic
A,梵高,Vincent van Gogh,西方文明,后印象派,1853-1890,Dutch post-impressionist painter
S,玄奘,Xuanzang,中华文明,唐,602-664,Buddhist monk pilgrim translator
S,马基雅维利,Machiavelli,西方文明,文艺复兴,1469-1527,Italian political philosopher author of The Prince
A,拿破仑·波拿巴,Napoleon Bonaparte,西方文明,法兰西,1769-1821,French emperor military commander
S,卡尔·马克思,Karl Marx,西方文明,工业革命,1818-1883,philosopher economist author of Das Kapital
B,泰戈尔,Rabindranath Tagore,印度文明,近代,1861-1941,Bengali poet philosopher Nobel laureate
S,曹操,Cao Cao,中华文明,东汉,155-220,warlord poet politician of Three Kingdoms era
A,杜甫,Du Fu,中华文明,唐,712-770,poet sage of Tang dynasty
S,圣雄甘地,Mahatma Gandhi,印度文明,近代,1869-1948,nonviolent independence leader
A,居里夫人玛丽,Marie Curie,西方文明,近代,1867-1934,physicist chemist two-time Nobel laureate
S,马丁·路德·金,Martin Luther King Jr,西方文明,现代,1929-1968,American civil rights leader
S,孔子,Confucius,中华文明,春秋,公元前551-前479,founding teacher of Confucian thought
S,老子,Laozi,中华文明,春秋,公元前6世纪,Daoist sage author of Dao De Jing
S,孟子,Mencius,中华文明,战国,公元前372-前289,Confucian philosopher of human goodness
S,庄子,Zhuangzi,中华文明,战国,公元前369-前286,Daoist philosopher author of Zhuangzi
S,韩非子,Han Feizi,中华文明,战国,公元前280-前233,Legalist political philosopher
S,墨子,Mozi,中华文明,战国,公元前470-前391,founder of Mohism universal love
S,荀子,Xunzi,中华文明,战国,公元前313-前238,Confucian philosopher of human nature as evil
S,孙子,Sunzi,中华文明,春秋,公元前6世纪,strategist author of Art of War
S,商鞅,Shang Yang,中华文明,战国,公元前390-前338,Legalist reformer of Qin
S,李白,Li Bai,中华文明,唐,701-762,romantic poet immortal of Tang
S,白居易,Bai Juyi,中华文明,唐,772-846,Tang poet of social verse
A,王维,Wang Wei,中华文明,唐,701-761,Tang poet painter Buddhist
A,韩愈,Han Yu,中华文明,唐,768-824,Tang prose master classical revival
A,柳宗元,Liu Zongyuan,中华文明,唐,773-819,Tang prose stylist reformer
A,欧阳修,Ouyang Xiu,中华文明,北宋,1007-1072,Song historian poet politician
S,苏轼,Su Shi,中华文明,北宋,1037-1101,Song polymath poet calligrapher
